COMUNA,AAAA,POBLACION
Total,2016,3059122.0
1,2016,252053.0
2,2016,149848.0
3,2016,192573.0
4,2016,238303.0
5,2016,186740.0
6,2016,184611.0
7,2016,240116.0
8,2016,225737.0
9,2016,170353.0
10,2016,170163.0
11,2016,189956.0
12,2016,213576.0
13,2016,235819.0
14,2016,226884.0
15,2016,182390.0
Total,2017,3063728.0
1,2017,253271.0
2,2017,149720.0
3,2017,192763.0
4,2017,238809.0
5,2017,186956.0
6,2017,184846.0
7,2017,240607.0
8,2017,226649.0
9,2017,170605.0
10,2017,170282.0
11,2017,189986.0
12,2017,213914.0
13,2017,235967.0
14,2017,226944.0
15,2017,182409.0
Total,2018,3068043.0
1,2018,254408.0
2,2018,149607.0
3,2018,192945.0
4,2018,239279.0
5,2018,187159.0
6,2018,185067.0
7,2018,241065.0
8,2018,227495.0
9,2018,170842.0
10,2018,170394.0
11,2018,190016.0
12,2018,214229.0
13,2018,236107.0
14,2018,227003.0
15,2018,182427.0
Total,2019,3072029.0
1,2019,255457.0
2,2019,149510.0
3,2019,193115.0
4,2019,239712.0
5,2019,187348.0
6,2019,185271.0
7,2019,241484.0
8,2019,228266.0
9,2019,171062.0
10,2019,170497.0
11,2019,190046.0
12,2019,214518.0
13,2019,236238.0
14,2019,227060.0
15,2019,182445.0
Total,2020,3075646.0
1,2020,256405.0
2,2020,149430.0
3,2020,193276.0
4,2020,240100.0
5,2020,187518.0
6,2020,185456.0
7,2020,241861.0
8,2020,228953.0
9,2020,171264.0
10,2020,170592.0
11,2020,190076.0
12,2020,214777.0
13,2020,236358.0
14,2020,227115.0
15,2020,182465.0
Total,2021,3078836.0
1,2021,257235.0
2,2021,149371.0
3,2021,193425.0
4,2021,240437.0
5,2021,187670.0
6,2021,185620.0
7,2021,242188.0
8,2021,229541.0
9,2021,171444.0
10,2021,170677.0
11,2021,190105.0
12,2021,215002.0
13,2021,236468.0
14,2021,227168.0
15,2021,182485.0
